id;jhi_date;jhi_value;fund_id
587;2016-12-15;713.50;5
588;2016-12-14;717.36;5
589;2016-12-13;719.80;5
590;2016-12-12;720.01;5
591;2016-12-09;719.66;5
592;2016-12-08;721.34;5
593;2016-12-07;723.28;5
594;2016-12-06;721.46;5
595;2016-12-05;721.61;5
596;2016-12-02;721.72;5
597;2016-12-01;719.28;5
598;2016-11-30;721.00;5
599;2016-11-29;723.79;5
600;2016-11-28;723.22;5
601;2016-11-25;721.16;5
602;2016-11-24;721.60;5
603;2016-11-23;721.60;5
604;2016-11-22;723.63;5
605;2016-11-21;723.27;5
606;2016-11-18;721.43;5
607;2016-11-17;723.72;5
608;2016-11-16;725.91;5
609;2016-11-15;725.43;5
610;2016-11-14;723.83;5
611;2016-11-11;728.26;5
612;2016-11-10;728.92;5
613;2016-11-09;732.40;5
614;2017-05-03;566.88;6
615;2017-05-02;568.25;6
616;2017-04-28;563.37;6
617;2017-04-27;563.88;6
618;2017-04-26;564.15;6
619;2017-04-25;560.25;6
620;2017-04-24;559.36;6
621;2017-04-21;563.50;6
622;2017-04-20;557.79;6
623;2017-04-19;558.03;6
624;2017-04-18;559.27;6
625;2017-04-13;565.75;6
626;2017-04-12;564.73;6
627;2017-04-11;562.78;6
628;2017-04-10;565.58;6
629;2017-04-07;566.75;6
630;2017-04-06;565.98;6
631;2017-04-05;568.09;6
632;2017-04-04;565.42;6
633;2017-04-03;565.29;6
634;2017-03-31;560.19;6
635;2017-03-30;562.17;6
636;2017-03-29;561.11;6
637;2017-03-28;554.41;6
638;2017-03-27;550.93;6
639;2017-03-24;557.32;6
640;2017-03-23;556.63;6
641;2017-03-22;553.82;6
642;2017-03-21;557.75;6
643;2017-03-20;560.39;6
644;2017-03-17;557.42;6
645;2017-03-16;556.19;6
646;2017-03-15;552.29;6
647;2017-03-14;548.98;6
648;2017-03-13;546.70;6
649;2017-03-10;542.88;6
650;2017-03-09;544.39;6
651;2017-03-08;550.79;6
652;2017-03-07;550.99;6
653;2017-03-06;549.44;6
654;2017-03-03;549.69;6
655;2017-03-02;553.99;6
656;2017-03-01;554.92;6
657;2017-02-28;549.43;6
658;2017-02-27;551.81;6
659;2017-02-24;556.16;6
660;2017-02-23;559.40;6
661;2017-02-22;560.68;6
662;2017-02-21;558.90;6
663;2017-02-20;553.58;6
664;2017-02-17;550.59;6
665;2017-02-16;551.22;6
666;2017-02-15;554.67;6
667;2017-02-14;553.12;6
668;2017-02-13;550.88;6
669;2017-02-10;547.52;6
670;2017-02-09;544.01;6
671;2017-02-08;539.36;6
672;2017-02-07;539.64;6
673;2017-02-06;539.60;6
674;2017-02-03;535.25;6
675;2017-02-02;531.77;6
676;2017-02-01;532.95;6
677;2017-01-31;528.85;6
678;2017-01-30;534.06;6
679;2017-01-27;534.72;6
680;2017-01-26;537.09;6
681;2017-01-25;531.77;6
682;2017-01-24;528.59;6
683;2017-01-23;524.77;6
684;2017-01-20;524.04;6
685;2017-01-19;526.54;6
686;2017-01-18;524.39;6
687;2017-01-17;523.11;6
688;2017-01-16;523.90;6
689;2017-01-13;525.59;6
690;2017-01-12;524.88;6
691;2017-01-11;530.10;6
692;2017-01-10;522.95;6
693;2017-01-09;520.78;6
694;2017-01-06;520.97;6
695;2017-01-05;519.60;6
696;2017-01-04;520.19;6
697;2017-01-03;522.20;6
698;2017-01-02;514.40;6
699;2016-12-30;510.97;6
700;2016-12-29;512.15;6
701;2016-12-28;512.68;6
702;2016-12-27;506.47;6
703;2016-12-23;505.76;6
704;2016-12-22;506.15;6
705;2016-12-21;511.23;6
706;2016-12-20;513.02;6
707;2016-12-19;511.08;6
708;2016-12-16;515.55;6
709;2016-12-15;515.40;6
710;2016-12-14;511.37;6
711;2016-12-13;513.95;6
712;2016-12-12;513.39;6
713;2016-12-09;519.71;6
714;2016-12-08;516.60;6
715;2016-12-07;504.75;6
716;2016-12-06;504.05;6
717;2016-12-05;500.90;6
718;2016-12-02;502.51;6
719;2016-12-01;507.99;6
720;2016-11-30;511.06;6
721;2016-11-29;508.60;6
722;2016-11-28;511.07;6
723;2016-11-25;507.56;6
724;2016-11-24;507.76;6
725;2016-11-23;509.81;6
726;2016-11-22;509.54;6
727;2016-11-21;502.86;6
728;2016-11-18;505.67;6
729;2016-11-17;502.18;6
730;2016-11-16;500.72;6
731;2016-11-15;495.08;6
732;2016-11-14;495.81;6
733;2016-11-11;495.92;6
734;2016-11-10;508.29;6
735;2016-11-09;506.88;6
736;2017-05-04;301.29;7
737;2017-05-03;298.62;7
738;2017-05-02;298.75;7
739;2017-04-28;295.53;7
740;2017-04-27;294.99;7
741;2017-04-26;294.48;7
742;2017-04-25;294.06;7
743;2017-04-24;293.42;7
744;2017-04-21;288.26;7
745;2017-04-20;289.06;7
746;2017-04-19;289.31;7
747;2017-04-18;288.84;7
748;2017-04-13;291.25;7
749;2017-04-12;290.92;7
750;2017-04-11;291.21;7
751;2017-04-10;292.39;7
752;2017-04-07;292.12;7
753;2017-04-06;291.97;7
754;2017-04-05;291.40;7
755;2017-04-04;291.77;7
756;2017-04-03;291.40;7
757;2017-03-31;291.64;7
758;2017-03-30;290.32;7
759;2017-03-29;289.46;7
760;2017-03-28;288.69;7
